submit,prop,cond,bet,guess,pbet,pguess,key1,key2,ckey1,ckey2,cguess,locked,endTR,subnum,subject
60,113,1,50,0,50,0,6,0,-999999,-999999,-999999,0,594,3,'591-AC-1'
60,114,3,50,0,52,1,6,0,-999999,-999999,0,0,1026,3,'591-AC-1'
60,115,2,50,0,36,0,6,0,-999999,-999999,0,0,965,3,'591-AC-1'
60,116,1,60,0,43,0,6,0,-999999,-999999,-999999,0,1172,3,'591-AC-1'
60,117,4,60,1,44,0,6,0,-999999,-999999,0,0,149,3,'591-AC-1'
60,118,4,60,0,47,1,6,0,-999999,-999999,-999999,0,1122,3,'591-AC-1'
60,119,1,60,1,16,1,6,0,-999999,-999999,-999999,0,1260,3,'591-AC-1'
60,120,1,50,1,51,1,6,0,-999999,-999999,-999999,0,342,3,'591-AC-1'
40,121,4,60,1,50,0,4,0,6,0,-999999,0,1358,3,'591-AC-1'
60,122,1,50,0,50,0,6,0,-999999,-999999,-999999,0,1284,3,'591-AC-1'
